scenario,threshold,test_auc,test_pr_auc,precision,recall,f1,artifact_base
lr_52_quantile_bins_saga_l1_recall_guard_kfold_5,0.425,0.8789,0.6355,0.3729,0.8302,0.5146,artifacts\lr_52_quantile_bins_saga_l1_recall_guard_kfold_5
lr_59_full_stack_balanced_l2_max_f1_kfold_5,0.645,0.8459,0.6203,0.4853,0.6226,0.5455,artifacts\lr_59_full_stack_balanced_l2_max_f1_kfold_5
lr_43_full_stack_balanced_l2_recall_guard_kfold_5,0.28,0.8459,0.6203,0.3111,0.7925,0.4468,artifacts\lr_43_full_stack_balanced_l2_recall_guard_kfold_5
lr_18_full_stack_high_l2_recall_guard_kfold_5,0.27,0.8449,0.614,0.3385,0.8302,0.4809,artifacts\lr_18_full_stack_high_l2_recall_guard_kfold_5
lr_48_full_stack_high_l2_recall_guard_kfold_5,0.27,0.8449,0.614,0.3385,0.8302,0.4809,artifacts\lr_48_full_stack_high_l2_recall_guard_kfold_5
lr_31_full_stack_high_l2_max_f1_kfold_5,0.625,0.8449,0.614,0.4783,0.6226,0.541,artifacts\lr_31_full_stack_high_l2_max_f1_kfold_5
lr_44_full_stack_mid_l2_max_f1_kfold_5,0.575,0.8444,0.6173,0.4416,0.6415,0.5231,artifacts\lr_44_full_stack_mid_l2_max_f1_kfold_5
lr_30_full_stack_mid_l2_recall_guard_kfold_5,0.265,0.8444,0.6173,0.3162,0.8113,0.455,artifacts\lr_30_full_stack_mid_l2_recall_guard_kfold_5
lr_33_quantile_bins_saga_l1_recall_guard_kfold_5,0.625,0.8343,0.5197,0.2993,0.8302,0.44,artifacts\lr_33_quantile_bins_saga_l1_recall_guard_kfold_5
lr_51_quantile_bins_saga_l1_max_f1_kfold_5,0.935,0.8343,0.5197,0.48,0.6792,0.5625,artifacts\lr_51_quantile_bins_saga_l1_max_f1_kfold_5
lr_50_quantile_bins_high_l2_recall_guard_kfold_5,0.63,0.8331,0.5198,0.3034,0.8302,0.4444,artifacts\lr_50_quantile_bins_high_l2_recall_guard_kfold_5
lr_05_full_stack_high_l2_recall_guard_kfold_5,0.3,0.8296,0.6353,0.3206,0.7925,0.4565,artifacts\lr_05_full_stack_high_l2_recall_guard_kfold_5
lr_13_full_stack_high_l2_max_f1_kfold_5,0.655,0.8296,0.6353,0.5077,0.6226,0.5593,artifacts\lr_13_full_stack_high_l2_max_f1_kfold_5
lr_21_full_stack_high_l2_recall_guard_kfold_5,0.29,0.8296,0.6353,0.3158,0.7925,0.4516,artifacts\lr_21_full_stack_high_l2_recall_guard_kfold_5
lr_42_full_stack_high_l2_max_f1_kfold_5,0.655,0.8296,0.6353,0.5077,0.6226,0.5593,artifacts\lr_42_full_stack_high_l2_max_f1_kfold_5
lr_41_full_stack_balanced_l2_max_f1_kfold_5,0.725,0.8294,0.6339,0.5818,0.6038,0.5926,artifacts\lr_41_full_stack_balanced_l2_max_f1_kfold_5
lr_27_full_stack_balanced_l2_recall_guard_kfold_5,0.28,0.8294,0.6339,0.305,0.8113,0.4433,artifacts\lr_27_full_stack_balanced_l2_recall_guard_kfold_5
lr_17_full_stack_mid_l2_recall_guard_kfold_5,0.29,0.8292,0.6348,0.3134,0.7925,0.4492,artifacts\lr_17_full_stack_mid_l2_recall_guard_kfold_5
lr_28_full_stack_mid_l2_max_f1_kfold_5,0.655,0.8292,0.6348,0.5238,0.6226,0.569,artifacts\lr_28_full_stack_mid_l2_max_f1_kfold_5
lr_47_full_stack_mid_l2_recall_guard_kfold_5,0.29,0.8292,0.6348,0.3134,0.7925,0.4492,artifacts\lr_47_full_stack_mid_l2_recall_guard_kfold_5
lr_03_full_stack_saga_l1_recall_guard_kfold_5,0.48,0.8096,0.492,0.2941,0.7547,0.4233,artifacts\lr_03_full_stack_saga_l1_recall_guard_kfold_5
lr_14_full_stack_saga_l1_recall_guard_kfold_5,0.48,0.8096,0.492,0.2941,0.7547,0.4233,artifacts\lr_14_full_stack_saga_l1_recall_guard_kfold_5
lr_29_full_stack_saga_l1_max_f1_kfold_5,0.575,0.8096,0.492,0.4471,0.717,0.5507,artifacts\lr_29_full_stack_saga_l1_max_f1_kfold_5
lr_08_full_stack_saga_l1_max_f1_kfold_5,0.585,0.8096,0.492,0.45,0.6792,0.5414,artifacts\lr_08_full_stack_saga_l1_max_f1_kfold_5
lr_40_full_stack_saga_l1_default_kfold_5,0.5,0.802,0.429,0.2838,0.7925,0.4179,artifacts\lr_40_full_stack_saga_l1_default_kfold_5
lr_02_full_stack_saga_l1_max_f1_kfold_5,0.6,0.802,0.429,0.3197,0.7358,0.4457,artifacts\lr_02_full_stack_saga_l1_max_f1_kfold_5
lr_00_full_stack_saga_l1_recall_guard_kfold_5,0.52,0.802,0.429,0.2979,0.7925,0.433,artifacts\lr_00_full_stack_saga_l1_recall_guard_kfold_5
lr_07_full_stack_saga_l1_recall_guard_kfold_5,0.52,0.802,0.429,0.2979,0.7925,0.433,artifacts\lr_07_full_stack_saga_l1_recall_guard_kfold_5
lr_12_full_stack_saga_l1_max_f1_kfold_5,0.6,0.802,0.429,0.3197,0.7358,0.4457,artifacts\lr_12_full_stack_saga_l1_max_f1_kfold_5
lr_16_full_stack_balanced_l2_recall_guard_kfold_5,0.425,0.8017,0.4251,0.325,0.7358,0.4509,artifacts\lr_16_full_stack_balanced_l2_recall_guard_kfold_5
lr_46_full_stack_balanced_l2_recall_guard_kfold_5,0.425,0.8017,0.4251,0.325,0.7358,0.4509,artifacts\lr_46_full_stack_balanced_l2_recall_guard_kfold_5
lr_25_full_stack_balanced_l2_max_f1_kfold_5,0.92,0.8017,0.4251,0.4333,0.4906,0.4602,artifacts\lr_25_full_stack_balanced_l2_max_f1_kfold_5
lr_39_full_stack_mid_l2_max_f1_kfold_5,0.84,0.7973,0.3943,0.4231,0.6226,0.5038,artifacts\lr_39_full_stack_mid_l2_max_f1_kfold_5
lr_10_full_stack_mid_l2_max_f1_kfold_5,0.84,0.7973,0.3943,0.4231,0.6226,0.5038,artifacts\lr_10_full_stack_mid_l2_max_f1_kfold_5
lr_04_full_stack_mid_l2_recall_guard_kfold_5,0.44,0.7973,0.3943,0.32,0.7547,0.4494,artifacts\lr_04_full_stack_mid_l2_recall_guard_kfold_5
lr_20_full_stack_mid_l2_recall_guard_kfold_5,0.44,0.7973,0.3943,0.32,0.7547,0.4494,artifacts\lr_20_full_stack_mid_l2_recall_guard_kfold_5
lr_11_full_stack_high_l2_recall_guard_kfold_5,0.44,0.7936,0.3793,0.3175,0.7547,0.4469,artifacts\lr_11_full_stack_high_l2_recall_guard_kfold_5
lr_26_full_stack_high_l2_max_f1_kfold_5,0.88,0.7936,0.3793,0.4324,0.6038,0.5039,artifacts\lr_26_full_stack_high_l2_max_f1_kfold_5
lr_06_full_stack_high_l2_max_f1_kfold_5,0.88,0.7936,0.3793,0.4324,0.6038,0.5039,artifacts\lr_06_full_stack_high_l2_max_f1_kfold_5
lr_01_full_stack_high_l2_recall_guard_kfold_5,0.465,0.7936,0.3793,0.32,0.7547,0.4494,artifacts\lr_01_full_stack_high_l2_recall_guard_kfold_5
lr_36_advanced_poly_high_l2_recall_guard_kfold_5,0.23,0.7888,0.548,0.3333,0.7736,0.4659,artifacts\lr_36_advanced_poly_high_l2_recall_guard_kfold_5
lr_56_advanced_poly_high_l2_max_f1_kfold_5,0.56,0.7888,0.548,0.4706,0.6038,0.5289,artifacts\lr_56_advanced_poly_high_l2_max_f1_kfold_5
lr_55_advanced_poly_mid_l2_recall_guard_kfold_5,0.25,0.7867,0.5362,0.3478,0.7547,0.4762,artifacts\lr_55_advanced_poly_mid_l2_recall_guard_kfold_5
lr_57_advanced_poly_high_l2_recall_guard_kfold_5,0.195,0.7843,0.5163,0.3125,0.7547,0.442,artifacts\lr_57_advanced_poly_high_l2_recall_guard_kfold_5
lr_45_advanced_poly_saga_l1_recall_guard_kfold_5,0.5,0.7724,0.4461,0.2645,0.7736,0.3942,artifacts\lr_45_advanced_poly_saga_l1_recall_guard_kfold_5
lr_23_advanced_poly_saga_l1_max_f1_kfold_5,0.51,0.7724,0.4461,0.2685,0.7547,0.396,artifacts\lr_23_advanced_poly_saga_l1_max_f1_kfold_5
lr_15_advanced_poly_saga_l1_recall_guard_kfold_5,0.5,0.7724,0.4461,0.2645,0.7736,0.3942,artifacts\lr_15_advanced_poly_saga_l1_recall_guard_kfold_5
lr_53_advanced_poly_balanced_l2_recall_guard_kfold_5,0.385,0.7505,0.4447,0.2791,0.6792,0.3956,artifacts\lr_53_advanced_poly_balanced_l2_recall_guard_kfold_5
lr_34_advanced_poly_mid_l2_recall_guard_kfold_5,0.395,0.7413,0.4337,0.2835,0.6792,0.4,artifacts\lr_34_advanced_poly_mid_l2_recall_guard_kfold_5
lr_54_advanced_poly_mid_l2_max_f1_kfold_5,0.505,0.7413,0.4337,0.2966,0.6604,0.4094,artifacts\lr_54_advanced_poly_mid_l2_max_f1_kfold_5
lr_22_advanced_poly_high_l2_recall_guard_kfold_5,0.435,0.7353,0.3893,0.3,0.6792,0.4162,artifacts\lr_22_advanced_poly_high_l2_recall_guard_kfold_5
lr_35_advanced_poly_high_l2_max_f1_kfold_5,0.495,0.7353,0.3893,0.2991,0.6604,0.4118,artifacts\lr_35_advanced_poly_high_l2_max_f1_kfold_5
lr_58_advanced_poly_saga_l1_max_f1_kfold_5,0.5,0.7247,0.3254,0.1974,0.8491,0.3203,artifacts\lr_58_advanced_poly_saga_l1_max_f1_kfold_5
lr_38_advanced_poly_saga_l1_recall_guard_kfold_5,0.5,0.7247,0.3254,0.1974,0.8491,0.3203,artifacts\lr_38_advanced_poly_saga_l1_recall_guard_kfold_5
lr_24_advanced_poly_saga_l1_recall_guard_kfold_5,0.5,0.6799,0.2228,0.178,0.8868,0.2965,artifacts\lr_24_advanced_poly_saga_l1_recall_guard_kfold_5
lr_37_advanced_poly_saga_l1_max_f1_kfold_5,0.5,0.6799,0.2228,0.178,0.8868,0.2965,artifacts\lr_37_advanced_poly_saga_l1_max_f1_kfold_5
lr_32_full_stack_saga_l1_recall_guard_kfold_5,0.495,0.5826,0.2595,0.1718,0.8491,0.2857,artifacts\lr_32_full_stack_saga_l1_recall_guard_kfold_5
lr_09_full_stack_saga_l1_recall_guard_kfold_5,0.49,0.5826,0.2595,0.1546,0.8868,0.2633,artifacts\lr_09_full_stack_saga_l1_recall_guard_kfold_5
lr_19_full_stack_saga_l1_max_f1_kfold_5,0.525,0.5826,0.2595,0.1833,0.2075,0.1947,artifacts\lr_19_full_stack_saga_l1_max_f1_kfold_5
lr_49_full_stack_saga_l1_max_f1_kfold_5,0.575,0.5826,0.2595,0.3529,0.1132,0.1714,artifacts\lr_49_full_stack_saga_l1_max_f1_kfold_5
