scenario,description,selection_focus,priority,pipeline,sampler,logistic,threshold_key,cv_signature,soft_voting,threshold,test_auc,test_pr_auc,precision,recall,f1,cv_mean,cv_std,cv_mean_minus_std,auc_delta,leaderboard_score,production_score,artifact_base
lr_03_full_stack_saga_l1_recall_guard_kfold_5,"Full-stack (advanced + quantile + bins + selector) + ADASYN -> BorderlineSMOTE | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median",production_precision_recall,7.2,full_stack,adasyn_border,saga_l1,recall_guard,kfold_5,median,0.48,0.8209,0.5289,0.3504,0.7736,0.4824,0.7448,0.0675,0.6774,-0.058800000000000074,0.7193499999999999,0.54608,artifacts\lr_03_full_stack_saga_l1_recall_guard_kfold_5
lr_14_full_stack_saga_l1_recall_guard_kfold_5,"Full-stack (advanced + quantile + bins + selector) + ADASYN -> BorderlineSMOTE | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=mean",production_precision_recall,7.0,full_stack,adasyn_border,saga_l1,recall_guard,kfold_5,mean,0.48,0.8209,0.5289,0.3504,0.7736,0.4824,0.7448,0.0675,0.6774,-0.058800000000000074,0.7193499999999999,0.54608,artifacts\lr_14_full_stack_saga_l1_recall_guard_kfold_5
lr_57_advanced_poly_high_l2_recall_guard_kfold_5,Advanced interactions + degree-2 poly + SMOTE -> SMOTETomek | L2 high-C (C=8.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median,production_precision_recall,6.7,advanced_poly,smote_tomek,high_l2,recall_guard,kfold_5,median,0.195,0.8305,0.5824,0.3034,0.8302,0.4444,0.7372,0.0511,0.6861,-0.04920000000000002,0.7146699999999999,0.5423200000000001,artifacts\lr_57_advanced_poly_high_l2_recall_guard_kfold_5
lr_16_full_stack_balanced_l2_recall_guard_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 + class_weight balanced (C=0.5) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median,production_precision_recall,7.0,full_stack,smote_clean,balanced_l2,recall_guard,kfold_5,median,0.425,0.8126,0.5401,0.35,0.7925,0.4855,0.7356,0.0554,0.6802,-0.06710000000000005,0.7144699999999999,0.5540999999999999,artifacts\lr_16_full_stack_balanced_l2_recall_guard_kfold_5
lr_46_full_stack_balanced_l2_recall_guard_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 + class_weight balanced (C=0.5) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=mean,production_precision_recall,6.8,full_stack,smote_clean,balanced_l2,recall_guard,kfold_5,mean,0.425,0.8126,0.5401,0.35,0.7925,0.4855,0.7356,0.0554,0.6802,-0.06710000000000005,0.7144699999999999,0.5540999999999999,artifacts\lr_46_full_stack_balanced_l2_recall_guard_kfold_5
lr_39_full_stack_mid_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 mid-C (C=1.5) | threshold=Maximise F1 | Stratified KFold (5) | vote=mean,holdout_auc,6.8,full_stack,smote_clean,mid_l2,max_f1,kfold_5,mean,0.84,0.8152,0.5413,0.5227,0.434,0.4742,0.7272,0.0527,0.6745,-0.0645,0.7129000000000001,0.47752000000000006,artifacts\lr_39_full_stack_mid_l2_max_f1_kfold_5
lr_01_full_stack_high_l2_recall_guard_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 high-C (C=8.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median,production_precision_recall,7.2,full_stack,smote_clean,high_l2,recall_guard,kfold_5,median,0.465,0.8054,0.5241,0.359,0.7925,0.4941,0.7221,0.0541,0.668,-0.07430000000000003,0.7120099999999999,0.55942,artifacts\lr_01_full_stack_high_l2_recall_guard_kfold_5
lr_11_full_stack_high_l2_recall_guard_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 high-C (C=8.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=mean,production_precision_recall,7.0,full_stack,smote_clean,high_l2,recall_guard,kfold_5,mean,0.44,0.8097,0.5388,0.344,0.8113,0.4831,0.7211,0.0538,0.6672,-0.07000000000000006,0.7117199999999999,0.55874,artifacts\lr_11_full_stack_high_l2_recall_guard_kfold_5
lr_20_full_stack_mid_l2_recall_guard_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 mid-C (C=1.5) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=mean,production_precision_recall,6.9,full_stack,smote_clean,mid_l2,recall_guard,kfold_5,mean,0.44,0.8103,0.5347,0.3415,0.7925,0.4773,0.728,0.0531,0.6749,-0.06940000000000002,0.7103999999999999,0.54906,artifacts\lr_20_full_stack_mid_l2_recall_guard_kfold_5
lr_04_full_stack_mid_l2_recall_guard_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 mid-C (C=1.5) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median,production_precision_recall,7.1,full_stack,smote_clean,mid_l2,recall_guard,kfold_5,median,0.44,0.8103,0.5347,0.3415,0.7925,0.4773,0.728,0.0531,0.6749,-0.06940000000000002,0.7103999999999999,0.54906,artifacts\lr_04_full_stack_mid_l2_recall_guard_kfold_5
lr_10_full_stack_mid_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 mid-C (C=1.5) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,7.0,full_stack,smote_clean,mid_l2,max_f1,kfold_5,median,0.84,0.8103,0.5347,0.5238,0.4151,0.4632,0.728,0.0531,0.6749,-0.06940000000000002,0.70617,0.46820000000000006,artifacts\lr_10_full_stack_mid_l2_max_f1_kfold_5
lr_02_full_stack_saga_l1_max_f1_kfold_5,"Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median",holdout_auc,7.2,full_stack,smote_clean,saga_l1,max_f1,kfold_5,median,0.6,0.7939,0.4717,0.3762,0.717,0.4935,0.7278,0.0533,0.6745,-0.08579999999999999,0.70378,0.53598,artifacts\lr_02_full_stack_saga_l1_max_f1_kfold_5
lr_12_full_stack_saga_l1_max_f1_kfold_5,"Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=mean",holdout_auc,7.0,full_stack,smote_clean,saga_l1,max_f1,kfold_5,mean,0.6,0.7939,0.4717,0.3762,0.717,0.4935,0.7278,0.0533,0.6745,-0.08579999999999999,0.70378,0.53598,artifacts\lr_12_full_stack_saga_l1_max_f1_kfold_5
lr_26_full_stack_high_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 high-C (C=8.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=mean,holdout_auc,6.9,full_stack,smote_clean,high_l2,max_f1,kfold_5,mean,0.88,0.8054,0.5241,0.525,0.3962,0.4516,0.7221,0.0541,0.668,-0.07430000000000003,0.69926,0.45880000000000004,artifacts\lr_26_full_stack_high_l2_max_f1_kfold_5
lr_06_full_stack_high_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 high-C (C=8.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,7.1,full_stack,smote_clean,high_l2,max_f1,kfold_5,median,0.88,0.8054,0.5241,0.525,0.3962,0.4516,0.7221,0.0541,0.668,-0.07430000000000003,0.69926,0.45880000000000004,artifacts\lr_06_full_stack_high_l2_max_f1_kfold_5
lr_25_full_stack_balanced_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L2 + class_weight balanced (C=0.5) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,validation_consistency,6.9,full_stack,smote_clean,balanced_l2,max_f1,kfold_5,median,0.92,0.8126,0.5401,0.5517,0.3019,0.3902,0.7356,0.0554,0.6802,-0.06710000000000005,0.68588,0.41947999999999996,artifacts\lr_25_full_stack_balanced_l2_max_f1_kfold_5
lr_00_full_stack_saga_l1_recall_guard_kfold_5,"Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median",production_precision_recall,7.3,full_stack,smote_clean,saga_l1,recall_guard,kfold_5,median,0.52,0.7939,0.4717,0.2857,0.7925,0.42,0.7278,0.0533,0.6745,-0.08579999999999999,0.68173,0.51528,artifacts\lr_00_full_stack_saga_l1_recall_guard_kfold_5
lr_07_full_stack_saga_l1_recall_guard_kfold_5,"Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=mean",production_precision_recall,7.1,full_stack,smote_clean,saga_l1,recall_guard,kfold_5,mean,0.52,0.7939,0.4717,0.2857,0.7925,0.42,0.7278,0.0533,0.6745,-0.08579999999999999,0.68173,0.51528,artifacts\lr_07_full_stack_saga_l1_recall_guard_kfold_5
lr_54_advanced_poly_mid_l2_max_f1_kfold_5,Advanced interactions + degree-2 poly + SMOTE -> SMOTEENN cleanup | L2 mid-C (C=1.5) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,6.7,advanced_poly,smote_clean,mid_l2,max_f1,kfold_5,median,0.505,0.7813,0.483,0.3303,0.6792,0.4444,0.7236,0.0451,0.6785,-0.09840000000000004,0.68023,0.49268000000000006,artifacts\lr_54_advanced_poly_mid_l2_max_f1_kfold_5
lr_40_full_stack_saga_l1_default_kfold_5,"Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Default 0.5 | Stratified KFold (5) | vote=median",holdout_auc,6.8,full_stack,smote_clean,saga_l1,default,kfold_5,median,0.5,0.7939,0.4717,0.2733,0.8302,0.4112,0.7278,0.0533,0.6745,-0.08579999999999999,0.67909,0.52364,artifacts\lr_40_full_stack_saga_l1_default_kfold_5
lr_53_advanced_poly_balanced_l2_recall_guard_kfold_5,Advanced interactions + degree-2 poly + SMOTE -> SMOTEENN cleanup | L2 + class_weight balanced (C=0.5) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median,production_precision_recall,6.7,advanced_poly,smote_clean,balanced_l2,recall_guard,kfold_5,median,0.385,0.7848,0.4915,0.2955,0.7358,0.4216,0.7255,0.0464,0.679,-0.09489999999999998,0.67584,0.49684,artifacts\lr_53_advanced_poly_balanced_l2_recall_guard_kfold_5
lr_34_advanced_poly_mid_l2_recall_guard_kfold_5,Advanced interactions + degree-2 poly + SMOTE -> SMOTEENN cleanup | L2 mid-C (C=1.5) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median,production_precision_recall,6.8,advanced_poly,smote_clean,mid_l2,recall_guard,kfold_5,median,0.395,0.7813,0.483,0.2955,0.7358,0.4216,0.7236,0.0451,0.6785,-0.09840000000000004,0.6733899999999999,0.49684,artifacts\lr_34_advanced_poly_mid_l2_recall_guard_kfold_5
lr_35_advanced_poly_high_l2_max_f1_kfold_5,Advanced interactions + degree-2 poly + SMOTE -> SMOTEENN cleanup | L2 high-C (C=8.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,6.8,advanced_poly,smote_clean,high_l2,max_f1,kfold_5,median,0.495,0.7701,0.4783,0.3269,0.6415,0.4331,0.7169,0.0422,0.6747,-0.10960000000000003,0.6689999999999999,0.47398000000000007,artifacts\lr_35_advanced_poly_high_l2_max_f1_kfold_5
lr_22_advanced_poly_high_l2_recall_guard_kfold_5,Advanced interactions + degree-2 poly + SMOTE -> SMOTEENN cleanup | L2 high-C (C=8.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median,production_precision_recall,6.9,advanced_poly,smote_clean,high_l2,recall_guard,kfold_5,median,0.435,0.7701,0.4783,0.3109,0.6981,0.4302,0.7169,0.0422,0.6747,-0.10960000000000003,0.6681299999999999,0.4896400000000001,artifacts\lr_22_advanced_poly_high_l2_recall_guard_kfold_5
lr_23_advanced_poly_saga_l1_max_f1_kfold_5,"Advanced interactions + degree-2 poly + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median",holdout_auc,6.9,advanced_poly,smote_clean,saga_l1,max_f1,kfold_5,median,0.51,0.7543,0.4199,0.2774,0.717,0.4,0.6744,0.0706,0.6039,-0.12540000000000007,0.64801,0.47776,artifacts\lr_23_advanced_poly_saga_l1_max_f1_kfold_5
lr_15_advanced_poly_saga_l1_recall_guard_kfold_5,"Advanced interactions + degree-2 poly + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median",production_precision_recall,7.0,advanced_poly,smote_clean,saga_l1,recall_guard,kfold_5,median,0.5,0.7543,0.4199,0.2517,0.717,0.3725,0.6744,0.0706,0.6039,-0.12540000000000007,0.63976,0.46198,artifacts\lr_15_advanced_poly_saga_l1_recall_guard_kfold_5
lr_45_advanced_poly_saga_l1_recall_guard_kfold_5,"Advanced interactions + degree-2 poly + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=mean",production_precision_recall,6.8,advanced_poly,smote_clean,saga_l1,recall_guard,kfold_5,mean,0.5,0.7543,0.4199,0.2517,0.717,0.3725,0.6744,0.0706,0.6039,-0.12540000000000007,0.63976,0.46198,artifacts\lr_45_advanced_poly_saga_l1_recall_guard_kfold_5
lr_38_advanced_poly_saga_l1_recall_guard_kfold_5,"Advanced interactions + degree-2 poly + SMOTE -> SMOTETomek | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median",production_precision_recall,6.8,advanced_poly,smote_tomek,saga_l1,recall_guard,kfold_5,median,0.5,0.7623,0.4082,0.2081,0.8679,0.3358,0.6299,0.0873,0.5426,-0.11740000000000006,0.63435,0.49756,artifacts\lr_38_advanced_poly_saga_l1_recall_guard_kfold_5
lr_58_advanced_poly_saga_l1_max_f1_kfold_5,"Advanced interactions + degree-2 poly + SMOTE -> SMOTETomek | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median",holdout_auc,6.7,advanced_poly,smote_tomek,saga_l1,max_f1,kfold_5,median,0.5,0.7623,0.4082,0.2081,0.8679,0.3358,0.6299,0.0873,0.5426,-0.11740000000000006,0.63435,0.49756,artifacts\lr_58_advanced_poly_saga_l1_max_f1_kfold_5
lr_24_advanced_poly_saga_l1_recall_guard_kfold_5,"Advanced interactions + degree-2 poly + ADASYN -> BorderlineSMOTE | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median",production_precision_recall,6.9,advanced_poly,adasyn_border,saga_l1,recall_guard,kfold_5,median,0.5,0.7346,0.361,0.2057,0.8113,0.3282,0.6365,0.0642,0.5723,-0.1451,0.61268,0.4724400000000001,artifacts\lr_24_advanced_poly_saga_l1_recall_guard_kfold_5
lr_37_advanced_poly_saga_l1_max_f1_kfold_5,"Advanced interactions + degree-2 poly + ADASYN -> BorderlineSMOTE | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median",holdout_auc,6.8,advanced_poly,adasyn_border,saga_l1,max_f1,kfold_5,median,0.5,0.7346,0.361,0.2057,0.8113,0.3282,0.6365,0.0642,0.5723,-0.1451,0.61268,0.4724400000000001,artifacts\lr_37_advanced_poly_saga_l1_max_f1_kfold_5
